,Category,Description,Document / Filing Type,Filings InitialAmended,EXPORT,Count
1,Ownership,4,Statements of Changes in Beneficial Ownershipof Securities,4,N,3009774
2,Reports,8-K,Current Reports,8-K,N,1399421
3,Reports,10-Q,Quarterly Reports,10-Q,N,526029
4,Reports,6-K,Reports by ForeignPrivate Issuers,6-K,N,330410
5,Registrations,–,Definitive Materials,497,N,312406
6,Ownership,3,Initial Statements of Beneficial Ownershipof Securities,3,N,267048
7,Ownership,13F,Quarterly Holdings and Combination Reports by InstitutionalMoney Managers,13F-HR,Y,210797
8,Ownership,13G,Statements ofBeneficial Ownership,SC 13G,N,181019
9,Reports,10-K,Annual Reports,10-K,Y,168564
10,Registrations,D,Notices of Offerings of Securities MadeWithout Registration,D,N,166886
11,Registrations,†,Post-Effective Amendments,485BPOS,N,158451
12,Registrations,24F-2,Annual Notices of Securities Sold byInvestment Companies,24F-2NT,N,156387
13,Proxies,14A,Definitive ProxySolicitation Materials,DEF 14A,N,150366
14,Registrations,–,Prospectuses,424B3,Y,142044
15,Letters,–,Comment Letters and Other Letters fromthe SEC[ a.k.a.LETTER],UPLOAD,N,139916
16,Registrations,–,Prospectuses,424B2,Y,139025
17,Registrations,–,Summary Prospectuses of Open-End Investment Management Companies,497K,N,136408
18,Letters,–,Comment-Response and Other Letters tothe SEC[ a.k.a.COVER],CORRESP,N,135708
19,Reports,10-QSB,Quarterly Reports bySmall Businesses,10QSB,N,120298
20,Registrations,–,Free-Writing Prospectuses,FWP,N,104995
21,Registrations,–,Certifications of No Changes inDefinitive Materials,497J,N,102540
22,Ownership,5,Annual Statements of Changes in Beneficial Ownershipof Securities,5,N,96865
23,Reports,N-Q,Quarterly Schedules of Portfolio Holdings of Investment Management Companies,N-Q,Y,82109
24,Registrations,S-8,Registrations of Securities to be Offered to Employees Pursuant to EmployeeBenefit Plans,S-8,N,76391
25,Ownership,13F, ,13F-NT,Y,70586
26,Reports,N-SAR,Semi-Annual Reports byMoney-Management Companies,NSAR-A,Y,70551
27,Reports,N-SAR,Annual Reports byMoney-Management Companies,NSAR-B,Y,70502
28,Reports,–,Annual and Semi-Annual Reports Mailedto Shareholders,N-30D,Y,70460
29,Proxies,14A,Additional Definitive ProxySolicitation Materials,DEFA14A,N,68084
30,Reports,12b-25,Notices of Late Filings ofForm 10-Q,NT 10-Q,N,65569
31,Reports,–,Business-CombinationTransaction Communications,425,Y,56399
32,Ownership,13D,General Statements ofBeneficial Ownership,SC 13D,N,53007
33,Reports,N-CSR,Certified Annual Shareholder Reports by Investment Management Companies,N-CSR,Y,50869
34,Registrations,–,Prospectuses,424B5,Y,50280
35,Reports,10-D,Periodic Distribution Reports byAsset-Backed Issuers,10-D,N,43582
36,Reports,N-CSR,Certified Semi-Annual Shareholder Reports by Investment Management Companies,N-CSRS,N,42932
37,Reports,N-MFP,Monthly Schedules of Portfolio Holdings of MoneyMarket Funds,N-MFP,N,41414
